# Keller K(5) Vertex Coordinates
# Total vertices: 1024
# Format: vertex_id [x1,x2,x3,x4,x5]
##################################################

   0 [0,0,0,0,0]
   1 [0,0,0,0,1]
   2 [0,0,0,0,2]
   3 [0,0,0,0,3]
   4 [0,0,0,1,0]
   5 [0,0,0,1,1]
   6 [0,0,0,1,2]
   7 [0,0,0,1,3]
   8 [0,0,0,2,0]
   9 [0,0,0,2,1]
  10 [0,0,0,2,2]
  11 [0,0,0,2,3]
  12 [0,0,0,3,0]
  13 [0,0,0,3,1]
  14 [0,0,0,3,2]
  15 [0,0,0,3,3]
  16 [0,0,1,0,0]
  17 [0,0,1,0,1]
  18 [0,0,1,0,2]
  19 [0,0,1,0,3]
  20 [0,0,1,1,0]
  21 [0,0,1,1,1]
  22 [0,0,1,1,2]
  23 [0,0,1,1,3]
  24 [0,0,1,2,0]
  25 [0,0,1,2,1]
  26 [0,0,1,2,2]
  27 [0,0,1,2,3]
  28 [0,0,1,3,0]
  29 [0,0,1,3,1]
  30 [0,0,1,3,2]
  31 [0,0,1,3,3]
  32 [0,0,2,0,0]
  33 [0,0,2,0,1]
  34 [0,0,2,0,2]
  35 [0,0,2,0,3]
  36 [0,0,2,1,0]
  37 [0,0,2,1,1]
  38 [0,0,2,1,2]
  39 [0,0,2,1,3]
  40 [0,0,2,2,0]
  41 [0,0,2,2,1]
  42 [0,0,2,2,2]
  43 [0,0,2,2,3]
  44 [0,0,2,3,0]
  45 [0,0,2,3,1]
  46 [0,0,2,3,2]
  47 [0,0,2,3,3]
  48 [0,0,3,0,0]
  49 [0,0,3,0,1]
  50 [0,0,3,0,2]
  51 [0,0,3,0,3]
  52 [0,0,3,1,0]
  53 [0,0,3,1,1]
  54 [0,0,3,1,2]
  55 [0,0,3,1,3]
  56 [0,0,3,2,0]
  57 [0,0,3,2,1]
  58 [0,0,3,2,2]
  59 [0,0,3,2,3]
  60 [0,0,3,3,0]
  61 [0,0,3,3,1]
  62 [0,0,3,3,2]
  63 [0,0,3,3,3]
  64 [0,1,0,0,0]
  65 [0,1,0,0,1]
  66 [0,1,0,0,2]
  67 [0,1,0,0,3]
  68 [0,1,0,1,0]
  69 [0,1,0,1,1]
  70 [0,1,0,1,2]
  71 [0,1,0,1,3]
  72 [0,1,0,2,0]
  73 [0,1,0,2,1]
  74 [0,1,0,2,2]
  75 [0,1,0,2,3]
  76 [0,1,0,3,0]
  77 [0,1,0,3,1]
  78 [0,1,0,3,2]
  79 [0,1,0,3,3]
  80 [0,1,1,0,0]
  81 [0,1,1,0,1]
  82 [0,1,1,0,2]
  83 [0,1,1,0,3]
  84 [0,1,1,1,0]
  85 [0,1,1,1,1]
  86 [0,1,1,1,2]
  87 [0,1,1,1,3]
  88 [0,1,1,2,0]
  89 [0,1,1,2,1]
  90 [0,1,1,2,2]
  91 [0,1,1,2,3]
  92 [0,1,1,3,0]
  93 [0,1,1,3,1]
